t,nArrived,meanWaitingTime,meanTimeLoss,meanTravelTime
58111,2,71.0,95.94999999999999,262.0
58112,2,58.5,100.89,254.5
58113,1,145.0,170.71,345.0
58115,3,73.66666666666667,100.02333333333333,236.66666666666666
58116,1,61.0,94.95,213.0
58117,3,65.33333333333333,93.89666666666666,206.66666666666666
58118,1,68.0,90.82,231.0
58119,1,45.0,83.54,198.0
58120,2,36.5,55.32,137.5
58121,2,61.5,111.61500000000001,239.0
58124,2,76.5,117.68,272.0
58125,1,50.0,80.18,189.0
58126,2,52.5,106.53999999999999,248.0
58128,1,15.0,52.76,191.0
58129,1,29.0,60.6,184.0
58130,2,41.5,73.53,180.5
58131,3,47.666666666666664,86.07000000000001,212.66666666666666
58133,1,14.0,63.5,185.0
58134,1,31.0,86.2,288.0
58136,1,7.0,51.55,180.0
58138,1,23.0,65.53,289.0
58139,1,0.0,23.58,65.0
58141,1,0.0,21.92,157.0
58150,2,79.5,114.53,248.0
58151,1,34.0,48.18,139.0
58152,1,37.0,80.51,209.0
58153,1,0.0,20.53,121.0
58154,1,45.0,80.3,349.0
58155,1,127.0,181.57,342.0
58156,3,53.666666666666664,102.32333333333332,225.0
58157,1,146.0,187.81,371.0
58160,1,119.0,169.56,368.0
58164,2,32.0,61.44,159.5
58168,1,12.0,64.16,210.0
58170,1,131.0,186.91,423.0
58172,1,92.0,119.37,288.0
58173,1,39.0,89.83,239.0
58174,1,85.0,119.28,284.0
58175,2,71.5,133.85,319.5
58177,1,116.0,153.99,351.0
58178,1,9.0,22.26,74.0
58179,2,27.5,49.4,142.0
58181,2,62.0,99.91,233.0
58182,1,45.0,91.82,233.0
58183,3,87.33333333333333,128.47,283.0
58185,4,75.5,119.91000000000001,270.25
58186,3,108.66666666666667,183.42999999999998,354.6666666666667
58187,1,0.0,11.43,136.0
58188,3,94.33333333333333,175.54666666666665,336.6666666666667
58189,1,193.0,262.76,394.0
58190,2,134.5,215.29000000000002,385.0
58193,1,0.0,4.59,14.0
